"Step","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MAX"
"40","7.843762397766113","7.843762397766113","7.843762397766113","4.797488212585449","4.797488212585449","4.797488212585449","0","0","0","0","0","0","16.455650329589844","16.455650329589844","16.455650329589844","19.61418914794922","19.61418914794922","19.61418914794922","0","0","0","0","0","0","0.8099138736724854","0.8099138736724854","0.8099138736724854","0.08852183818817139","0.08852183818817139","0.08852183818817139","0.46591758728027344","0.46591758728027344","0.46591758728027344","1.969417929649353","1.969417929649353","1.969417929649353"
"42","9.4679594039917","9.4679594039917","9.4679594039917","8.53019905090332","8.53019905090332","8.53019905090332","0","0","0","0","0","0","10.304779052734375","10.304779052734375","10.304779052734375","9.557366371154785","9.557366371154785","9.557366371154785","0","0","0","0","0","0","0.9371548891067505","0.9371548891067505","0.9371548891067505","2.8102784156799316","2.8102784156799316","2.8102784156799316","1.4981389045715332","1.4981389045715332","1.4981389045715332","1.7657041549682617","1.7657041549682617","1.7657041549682617"
"44","11.020928382873535","11.020928382873535","11.020928382873535","1.2721121311187744","1.2721121311187744","1.2721121311187744","0","0","0","0","0","0","15.575944900512695","15.575944900512695","15.575944900512695","18.550037384033203","18.550037384033203","18.550037384033203","0","0","0","0","0","0","2.21865177154541","2.21865177154541","2.21865177154541","0.486794114112854","0.486794114112854","0.486794114112854","1.5766263008117676","1.5766263008117676","1.5766263008117676","1.7840057611465454","1.7840057611465454","1.7840057611465454"
"46","5.693406105041504","5.693406105041504","5.693406105041504","15.744447708129883","15.744447708129883","15.744447708129883","0","0","0","0","0","0","14.672308921813965","14.672308921813965","14.672308921813965","5.131811141967773","5.131811141967773","5.131811141967773","0","0","0","0","0","0","1.851317286491394","1.851317286491394","1.851317286491394","1.684802770614624","1.684802770614624","1.684802770614624","1.6400903463363647","1.6400903463363647","1.6400903463363647","1.5190094709396362","1.5190094709396362","1.5190094709396362"
"48","6.719827651977539","6.719827651977539","6.719827651977539","24.170934677124023","24.170934677124023","24.170934677124023","0","0","0","0","0","0","5.037397384643555","5.037397384643555","5.037397384643555","8.545279502868652","8.545279502868652","8.545279502868652","0","0","0","0","0","0","0.991329550743103","0.991329550743103","0.991329550743103","0.7864296436309814","0.7864296436309814","0.7864296436309814","1.6545146703720093","1.6545146703720093","1.6545146703720093","0.31096935272216797","0.31096935272216797","0.31096935272216797"
"50","15.486687660217285","15.486687660217285","15.486687660217285","3.085911273956299","3.085911273956299","3.085911273956299","0","0","0","0","0","0","18.588424682617188","18.588424682617188","18.588424682617188","4.984230041503906","4.984230041503906","4.984230041503906","0","0","0","0","0","0","0.7901698350906372","0.7901698350906372","0.7901698350906372","0.10987222194671631","0.10987222194671631","0.10987222194671631","0.6136029958724976","0.6136029958724976","0.6136029958724976","2.5629072189331055","2.5629072189331055","2.5629072189331055"
"52","11.783867835998535","11.783867835998535","11.783867835998535","7.5362324714660645","7.5362324714660645","7.5362324714660645","0","0","0","0","0","0","7.223039627075195","7.223039627075195","7.223039627075195","10.423392295837402","10.423392295837402","10.423392295837402","0","0","0","0","0","0","0.9203135967254639","0.9203135967254639","0.9203135967254639","0.8590847253799438","0.8590847253799438","0.8590847253799438","2.4123191833496094","2.4123191833496094","2.4123191833496094","0.3785163164138794","0.3785163164138794","0.3785163164138794"
"54","5.186557769775391","5.186557769775391","5.186557769775391","15.461355209350586","15.461355209350586","15.461355209350586","0","0","0","0","0","0","10.633378982543945","10.633378982543945","10.633378982543945","9.873658180236816","9.873658180236816","9.873658180236816","0","0","0","0","0","0","0.8357256650924683","0.8357256650924683","0.8357256650924683","2.828183650970459","2.828183650970459","2.828183650970459","0.8496373891830444","0.8496373891830444","0.8496373891830444","1.9533514976501465","1.9533514976501465","1.9533514976501465"
"56","6.63834810256958","6.63834810256958","6.63834810256958","3.4304559230804443","3.4304559230804443","3.4304559230804443","0","0","0","0","0","0","7.027536392211914","7.027536392211914","7.027536392211914","13.553648948669434","13.553648948669434","13.553648948669434","0","0","0","0","0","0","1.4084577560424805","1.4084577560424805","1.4084577560424805","0.41210055351257324","0.41210055351257324","0.41210055351257324","0.5160391330718994","0.5160391330718994","0.5160391330718994","0.12136995792388916","0.12136995792388916","0.12136995792388916"
"58","9.540081024169922","9.540081024169922","9.540081024169922","11.843710899353027","11.843710899353027","11.843710899353027","0","0","0","0","0","0","20.420759201049805","20.420759201049805","20.420759201049805","9.721427917480469","9.721427917480469","9.721427917480469","0","0","0","0","0","0","2.247631549835205","2.247631549835205","2.247631549835205","1.8364548683166504","1.8364548683166504","1.8364548683166504","1.5604197978973389","1.5604197978973389","1.5604197978973389","0.1668781042098999","0.1668781042098999","0.1668781042098999"
"60","7.892489433288574","7.892489433288574","7.892489433288574","10.05890941619873","10.05890941619873","10.05890941619873","0","0","0","0","0","0","5.249053001403809","5.249053001403809","5.249053001403809","11.882246017456055","11.882246017456055","11.882246017456055","0","0","0","0","0","0","0.018534064292907715","0.018534064292907715","0.018534064292907715","0.02435743808746338","0.02435743808746338","0.02435743808746338","1.1053264141082764","1.1053264141082764","1.1053264141082764","0.19880831241607666","0.19880831241607666","0.19880831241607666"
